Actual,Predicted,Probability,Prediction_Type
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.03,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.05,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
0,0,0.0,True Negative
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
0,0,0.0,True Negative
1,1,1.0,True Positive
1,1,1.0,True Positive
